"id";"extension";"name";"proto";"des";"return";"params"
"1";"Apache";"apache_child_terminate";"bool apache_child_terminate()";"Terminate apache process after this request";"bool";
"2";"Apache";"apache_get_modules";"array apache_get_modules()";"Get a list of loaded Apache modules";"array";
"3";"Apache";"apache_get_version";"string apache_get_version()";"Fetch Apache version";"string";
"4";"Apache";"apache_getenv";"string apache_getenv(string variable[, bool walk_to_top])";"Get an Apache subprocess_env variable";"string";
"5";"Apache";"apache_lookup_uri";"object apache_lookup_uri(string filename)";"Perform a partial request for the specified URI and return all info about it";"object";
"6";"Apache";"apache_note";"string apache_note(string note_name[, string note_value])";"Get and set apache request notes";"string";
"7";"Apache";"apache_request_headers";"array apache_request_headers()";"Fetch all HTTP request headers";"array";
"8";"Apache";"apache_response_headers";"array apache_response_headers()";"Fetch all HTTP response headers";"array";
"9";"Apache";"apache_setenv";"int apache_setenv(string variable, string value[, bool walk_to_top])";"Set an Apache subprocess_env variable";"int";
"10";"Apache";"ascii2ebcdic";"int ascii2ebcdic(string ascii_str)";"Translate string from ASCII to EBCDIC";"int";
"11";"Apache";"ebcdic2ascii";"int ebcdic2ascii(string ebcdic_str)";"Translate string from EBCDIC to ASCII";"int";
"12";"Apache";"getallheaders";"array getallheaders()";"Fetch all HTTP request headers";"array";
"13";"Apache";"virtual";"int virtual(string filename)";"Perform an Apache sub-request";"int";
"14";"Arrays";"array_change_key_case";"array array_change_key_case(array input[, int case])";"Returns an array with all string keys lowercased or uppercased";"array";
"15";"Arrays";"array_chunk";"array array_chunk(array input, int size[, bool preserve_keys])";"Split an array into chunks";"array";
"16";"Arrays";"array_combine";"array array_combine(array keys, array values)";"Creates an array by using one array for keys and another for its values";"array";
"17";"Arrays";"array_count_values";"array array_count_values(array input)";"Counts all the values of an array";"array";
"18";"Arrays";"array_diff_assoc";"array array_diff_assoc(array array1, array array2[, array  ...])";"Computes the difference of arrays with additional index check";"array";
"19";"Arrays";"array_diff_uassoc";"array array_diff_uassoc(array array1, array array2[, array ..., callback key_compare_func])";"Computes the difference of arrays with additional index check which is performed by a user supplied callback function";"array";
"20";"Arrays";"array_diff";"array array_diff(array array1, array array2[, array  ...])";"Computes the difference of arrays";"array";
"21";"Arrays";"array_fill";"array array_fill(int start_index, int num, mixed value)";"Fill an array with values";"array";
"22";"Arrays";"array_filter";"array array_filter(array input[, callback callback])";"Filters elements of an array using a callback function";"array";
"23";"Arrays";"array_flip";"array array_flip(array trans)";"Exchanges all keys with their associated values in an array";"array";
"24";"Arrays";"array_intersect_assoc";"array array_intersect_assoc(array array1, array array2[, array  ...])";"Computes the intersection of arrays with additional index check";"array";
